"match_id" "RallyCount" "P1Dist" "P2Dist" "Point" "Speed" "Speed1" "Speed2" "FirstServe1" "SecondServe1" "DoubleFault1" "FirstServe2" "SecondServe2" "DoubleFault2" "Time" "matchnum" "Slam" "Gender" "player1" "player2" "split_time" "total_minutes" "played_minutes" "rally_min" "P1dist_min" "P2dist_min" "Dist" "Dist_min" "FirstServe" "SecondServe" "DoubleFault" "year" "surface" "PercFirstServe1" "PercSecondServe1" "PercDoubleFault1" "PercFirstServe2" "PercSecondServe2" "PercDoubleFault2" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"2019-ausopen-1158" "462" "NaN" "NaN" "210" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1158" "ausopen" "M" "g. garcia-lopez" "r. haase" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1159" "580" "NaN" "NaN" "271" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1159" "ausopen" "M" "m. polmans" "d. kudla" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1160" "341" "NaN" "NaN" "177" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1160" "ausopen" "M" "r. molleker" "d. schwartzman" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1161" "808" "NaN" "NaN" "184" "167.284153005464" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1161" "ausopen" "M" "a. de minaur" "p. sousa" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1162" "523" "NaN" "NaN" "270" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1162" "ausopen" "M" "m. basic" "h. laaksonen" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1163" "689" "NaN" "NaN" "219" "171.922018348624" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1163" "ausopen" "M" "m. ebden" "j. struff" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1164" "476" "NaN" "NaN" "192" "179.761904761905" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1164" "ausopen" "M" "j. duckworth" "r. nadal" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1201" "652" "NaN" "NaN" "179" "177.780898876405" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1201" "ausopen" "M" "n. djokovic" "j. tsonga" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1202" "485" "NaN" "NaN" "177" "181.16384180791" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1202" "ausopen" "M" "t. daniel" "d. shapovalov" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1203" "693" "NaN" "NaN" "235" "177.987124463519" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1203" "ausopen" "M" "d. goffin" "m. copil" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
