"Player" "n" "RallyCount" "Dist" "Point" "Speed" "FirstServe" "SecondServe" "DoubleFault" "played_minutes" "Gender" "rally_min" "rally_match" "Dist_min" "Dist_match" "Point_min" "Point_match" "played_minutes_match" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"caroline garcia" 10 2162 10885.3757204089 1347 154.75394805394 425 223 29 182.663333333333 "W" 11.8359824084381 216.2 59.5925603774278 1088.53757204089 7.37422215733864 134.7 18.2663333333333 62.7769571639586 32.9394387001477 4.28360413589365
"veronica cepede royg" 1 288 1735.36302898551 169 147.615384615385 46 19 6 22.22 "W" 12.961296129613 288 78.0991462189698 1735.36302898551 7.60576057605761 169 22.22 64.7887323943662 26.7605633802817 8.45070422535211
"kristina mladenovic" 7 2049.5 11337.754153252 1187 150.630030890214 349 199 56 172.016666666667 "W" 11.9145431644221 292.785714285714 65.9107886052822 1619.67916475028 6.90049413816491 169.571428571429 24.5738095238095 57.7814569536424 32.9470198675497 9.27152317880795
"yuichi sugita" 2 743.5 3999.85345239479 402 158.322395833334 111 78 8 55.93 "M" 13.2934024673699 371.75 71.515348692916 1999.9267261974 7.18755587341319 201 27.965 56.3451776649746 39.5939086294416 4.06091370558376
"leonardo mayer" 3 1424 8022.81604771885 750 176.540739671148 230 131 16 109.036666666667 "M" 13.059826969521 474.666666666667 73.5790655839215 2674.27201590628 6.87842010332916 250 36.3455555555555 61.0079575596817 34.7480106100796 4.24403183023873
"ryan harrison" 3 1100.5 5423.61818310673 645 178.569432803853 202 130 20 81.9899999999999 "M" 13.4223685815344 366.833333333333 66.1497522027898 1807.87272770224 7.86681302597879 215 27.33 57.3863636363636 36.9318181818182 5.68181818181818
"vaclav safranek" 1 396 2450.08728235294 178 150.639534883721 60 31 5 21.8066666666667 "M" 18.1595842250076 396 112.354965561889 2450.08728235294 8.16264139406908 178 21.8066666666667 62.5 32.2916666666667 5.20833333333333
"john millman" 4 1808.5 9218.8160871339 768 166.235301287944 244 138 6 100.25 "M" 18.0399002493766 452.125 91.9582652083183 2304.70402178348 7.66084788029926 192 25.0625 62.8865979381443 35.5670103092784 1.54639175257732
"henri laaksonen" 1 423.5 2416.06756637168 230 174.23275862069 75 41 9 30.84 "M" 13.7321660181582 423.5 78.3420092857224 2416.06756637168 7.45784695201038 230 30.84 60 32.8 7.2
"sam querrey" 13 4663.5 24586.5023956774 2981 178.79865692416 883 512 61 363.153333333333 "M" 12.8416830356323 358.730769230769 67.7028134920349 1891.26941505211 8.2086538285022 229.307692307692 27.9348717948718 60.6456043956044 35.1648351648352 4.18956043956044
