"Player" "n" "RallyCount" "PDist" "Point" "Speed" "PrimerServei" "SegonServei" "DobleFalta" "Time" "Genere" "rally_min" "rally_partit" "Dist_min" "Dist_partit" "PercentatgePrimerServei" "PercentatgeSegonServei" "PercentatgeDobleFalta"
"barbora strycova" 19 6047 45865.6941685171 2669 150.556127509249 851 414 54 406.526666666667 2 14.8747929615113 318.263157894737 112.823334677144 2413.98390360616 64.5185746777862 31.3874147081122 4.09401061410159
"irina camelia begu" 7 1273 20513.1375191541 894 155.021896467182 304 115 19 126.896666666667 2 10.0317843914997 181.857142857143 161.652295982196 2930.44821702201 69.4063926940639 26.2557077625571 4.337899543379
"svetlana kuznetsova" 20 6809.5 46164.792055333 2940 144.167194511625 982 418 67 405.863333333333 2 16.7778151923061 340.475 113.744672809401 2308.23960276665 66.9393319700068 28.4935241990457 4.56714383094751
"tsvetana pironkova" 10 3110.5 22703.7017580029 1426 144.573950613161 427 266 20 206.72 2 15.046923374613 311.05 109.82827862811 2270.37017580029 59.8877980364656 37.3071528751753 2.80504908835905
"kiki bertens" 17 5171.5 34584.23297723 2541 152.934251406664 720 425 65 381.48 2 13.5564118695607 304.205882352941 90.6580501657493 2034.36664571941 59.504132231405 35.1239669421488 5.37190082644628
"shelby rogers" 21 5500 46813.0666098626 3092 152.341280796792 965 513 47 419.303333333334 2 13.1169956515172 261.904761904762 111.644871119228 2229.19364808869 63.2786885245902 33.6393442622951 3.08196721311475
"garbine muguruza" 24 6455.5 49360.5792904607 3211 152.120167717806 963 516 65 440.443333333333 2 14.6568230495032 268.979166666667 112.070215518744 2056.6908037692 62.3704663212435 33.419689119171 4.20984455958549
"kyle edmund" 18 7180.5 57435.4651951363 3930 169.338153647729 1219 692 68 539.546666666667 1 13.3083947017249 398.916666666667 106.451339139901 3190.85917750757 61.5967660434563 34.967155128853 3.43607882769075
"jo wilfried tsonga" 28 10600 92108.0831671399 6301 172.012182414548 1872 1101 98 843.593333333333 1 12.565296074728 378.571428571429 109.185409044413 3289.57439882643 60.9573428850537 35.8515141647672 3.19114295017909
"jack sock" 17 6526 68511.3277029916 4160 175.841926308969 1229 725 91 559.52 1 11.6635687732342 383.882352941176 122.446610850357 4030.07810017598 60.0977995110024 35.4523227383863 4.44987775061125
"rogerio dutra silva" 2 930 9211.27745461078 383 171.128371628371 97 77 13 55.58 1 16.7326376394386 465 165.730072950896 4605.63872730539 51.8716577540107 41.1764705882353 6.95187165775401
"brian baker" 2 825 9640.29843635068 489 170.794855998768 143 95 16 67.0166666666667 1 12.3103705545884 412.5 143.849267888844 4820.14921817534 56.2992125984252 37.4015748031496 6.2992125984252
"gael monfils" 37 15858 142668.646872041 8093 171.647256302011 2529 1278 186 1050.66333333333 1 15.0933219965799 428.594594594595 135.789117546732 3855.90937492003 63.335837716003 32.0060105184072 4.65815176558978
